時刻,EventID,イベント種別,分類,対象,対象種別,対象種別備考,プロセス名,プロセスID,ユーザー,アクセス内容,HandleId,RecordId
2026-07-20 06:58:15.596860,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x68bc,3914320
2026-07-20 06:58:15.596864,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x68bc,3914321
2026-07-20 06:58:15.596872,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x68bc,3914322
2026-07-20 06:58:15.596973,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, Synchronize (0x100001)",0x68bc,3914325
2026-07-20 06:58:15.596976,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x68bc,3914326
2026-07-20 06:58:15.596977,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x68bc,3914327
2026-07-20 06:58:15.597041,4656,ハンドル要求,シグナル,D:\tmp\ProbeTest\delete_folder_normal\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ReadAttributes, Delete, ReadPermissions, Synchronize (0x130080)",0x68bc,3914330
2026-07-20 06:58:15.597044,4663,アクセス試行,シグナル,D:\tmp\ProbeTest\delete_folder_normal\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,Delete (0x10000),0x68bc,3914331
2026-07-20 06:58:15.597056,4660,削除,シグナル,D:\tmp\ProbeTest\delete_folder_normal\inner.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x68bc,3914332
2026-07-20 06:58:15.597148,4656,ハンドル要求,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ReadAttributes, Delete, ReadPermissions, Synchronize (0x130080)",0x68bc,3914336
2026-07-20 06:58:15.597150,4663,アクセス試行,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,Delete (0x10000),0x68bc,3914337
2026-07-20 06:58:15.597160,4658,ハンドルクローズ,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x68bc,3914338
2026-07-20 06:58:15.597882,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5494,3914339
2026-07-20 06:58:15.597946,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5d04,3914340
2026-07-20 06:58:15.599774,4656,ハンドル要求,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ReadAttributes, Delete, Synchronize (0x110080)",0x55f8,3914348
2026-07-20 06:58:15.599777,4663,アクセス試行,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,Delete (0x10000),0x55f8,3914349
2026-07-20 06:58:15.600033,4658,ハンドルクローズ,シグナル,D:\tmp\ProbeTest\delete_folder_normal,判別不明,拡張子なし、かつ記録時点で対象が存在しないため判定不能(削除・リネーム等の可能性),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x55f8,3914353
2026-07-20 06:58:15.601363,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5fc0,3914358
